wavenumber, 25C 0_ MeOH, 25C 20MeOH 1WEEK, 50C 0_ MeOH 4WEEK, 50C 0_MeOH 1WEEK, 50C 10_MeOH 4WEEK, 50C 20MeOH 1WEEK, 50C 20_MeOH 4WEEK, 80C 0_ MeOH 4WEEK, 80C 0_MeOH 1WEEK, 80C 10MeOH 4WEEK, 80C 10_MeOH 1WEEK, 80C 20_MeOH 1WEEK, 80C 20_MeOH 4WEEK
673.0349,0.3492786,0.3471782,0.3556276,0.3507693,0.3522616,0.3473813,0.3481449,0.3481436,0.3463981,0.3497545,0.3510622,0.3453081,0.3512818
674.9634,0.3458234,0.3441722,0.3530096,0.3474509,0.3495306,0.346463,0.3441067,0.3458146,0.3445699,0.3471569,0.3469208,0.3413884,0.3477309
676.8918,0.3434614,0.3430535,0.3479154,0.3438623,0.3459468,0.3449024,0.3420231,0.3449243,0.3422765,0.3456343,0.3447894,0.3395399,0.3432551
678.8203,0.3415202,0.3405152,0.3448114,0.3401566,0.3431629,0.3410775,0.3407929,0.3421806,0.3408462,0.3435017,0.3432851,0.3373114,0.3409478
680.7488,0.3382808,0.3390739,0.3436472,0.3374433,0.3411767,0.3375029,0.3384992,0.3391921,0.3388095,0.3401031,0.3404433,0.3353594,0.3391082
682.6772,0.3355611,0.3383205,0.3422442,0.3357868,0.3390716,0.3348363,0.3347601,0.3361917,0.3347955,0.3369187,0.3390343,0.3333942,0.3370347
684.6057,0.3343151,0.3374019,0.3394455,0.3350549,0.3382208,0.334274,0.3339037,0.3340104,0.3322679,0.3353606,0.3377888,0.3329223,0.3354666
686.5342,0.3331483,0.3351214,0.3362218,0.3328655,0.3358274,0.3330817,0.3325707,0.3324823,0.3313781,0.3325312,0.334208,0.3320237,0.3335644
688.4626,0.3311209,0.3338718,0.3337286,0.3303653,0.3338736,0.3319823,0.3302954,0.3313422,0.3301007,0.3314901,0.3317951,0.3306297,0.332063
690.3911,0.3281607,0.3306332,0.3309006,0.3270696,0.3326927,0.3285424,0.3282782,0.3279823,0.3269204,0.3310659,0.3284124,0.3284232,0.3290696
692.3196,0.3261469,0.3280448,0.3286789,0.3258536,0.3305004,0.3271048,0.3267538,0.3257832,0.3251688,0.3291117,0.3259774,0.3251853,0.3272266
694.248,0.3248255,0.3262515,0.3251719,0.3246129,0.3272732,0.3262122,0.3242096,0.3238311,0.3235989,0.3269618,0.3245892,0.3229177,0.3251684
696.1765,0.3225267,0.3228652,0.3225926,0.3232466,0.3253819,0.3234305,0.322948,0.3220585,0.3227381,0.3259076,0.3232415,0.3212036,0.3223274
698.105,0.3210591,0.3199264,0.3205628,0.3213262,0.3236922,0.3197798,0.3215903,0.3206603,0.321926,0.3243235,0.3210105,0.3183548,0.3204505
700.0334,0.3194068,0.3181794,0.3182673,0.3191609,0.3217236,0.3171463,0.3194362,0.3197741,0.3199481,0.321266,0.319058,0.3166441,0.3195215
