wavenumber, 25C 0_ MeOH, 25C 20MeOH 1WEEK, 50C 0_ MeOH 1WEEK, 50C 0_MeOH 4WEEK, 50C 10MeOH 4WEEK, 50C 20MeOH 1WEEK, 50C 20MeOH 4WEEK, 80C 0_MeOH  4WEEK, 80C 0_MeOH 1WEEK, 80C 10MeOH 1WEEK, 80C 10_MeOH 4WEEK, 80C 20ME 1WEEK, 80C 20MeOH 1WEEK, 80C 20_MeOH 4WEEK
601.6816,0,0,0,0,0,0,0,0,0.1335527,0,0,0,0,0
603.6101,0,0,0,0,0,0,0,0,0.1338957,0,0,0,0,0
605.5386,0,0,0,0,0,0,0,0,0.1342182,0,0,0,0,0
607.467,0,0,0,0,0,0,0,0,0.1337985,0,0,0,0,0
609.3955,0,0,0,0,0,0,0,0,0.1326711,0,0,0,0,0
611.324,0,0,0,0,0,0,0,0,0.1307069,0,0,0,0,0
613.2524,0,0,0,0,0,0,0,0,0.1282539,0,0,0,0,0
615.1809,0,0,0,0,0,0,0,0,0.126874,0,0,0,0,0
617.1094,0,0,0,0,0,0,0,0,0.1259849,0,0,0,0,0
619.0378,0,0,0,0,0,0,0,0,0.125145,0,0,0,0,0
620.9663,0,0,0,0,0,0,0,0,0.1245778,0,0,0,0,0
622.8948,0,0,0,0,0,0,0,0,0.1252415,0,0,0,0,0
624.8232,0,0,0,0,0,0,0,0,0.1264038,0,0,0,0,0
626.7517,0,0,0,0,0,0,0,0,0.126692,0,0,0,0,0
628.6802,0,0,0,0,0,0,0,0,0.1266996,0,0,0,0,0
630.6086,0,0,0,0,0,0,0,0,0.1270749,0,0,0,0,0
632.5371,0,0,0,0,0,0,0,0,0.1282216,0,0,0,0,0
634.4656,0,0,0,0,0,0,0,0,0.1294362,0,0,0,0,0
636.394,0,0,0,0,0,0,0,0,0.129645,0,0,0,0,0
638.3225,0,0,0,0,0,0,0,0,0.1293509,0,0,0,0,0
640.251,0,0,0,0,0,0,0,0,0.1285671,0,0,0,0,0
642.1794,0,0,0,0,0,0,0,0,0.1270749,0,0,0,0,0
644.1079,0,0,0,0,0,0,0,0,0.1253739,0,0,0,0,0
646.0364,0,0,0,0,0,0,0,0,0.1238314,0,0,0,0,0
647.9648,0,0,0,0,0,0,0,0,0.123106,0,0,0,0,0
649.8933,0.2461565,0.196867,0.186361,0.1955134,0.1521361,0.1494816,0.1383082,0.2508476,0.1233535,0.2001649,0.3201704,0.1199322,0.1199322,0.279311
651.8218,0.2449982,0.195153,0.1842486,0.1932971,0.1509214,0.147773,0.137243,0.2481092,0.1239703,0.1979385,0.3173085,0.1178473,0.1178473,0.2781972
653.7502,0.2429726,0.1943769,0.1817784,0.1914101,0.1498353,0.1444316,0.1350998,0.2471674,0.1246534,0.1968359,0.3149872,0.1162647,0.1162647,0.2748086
655.6787,0.2408191,0.1921507,0.1790258,0.1910718,0.1472113,0.142486,0.1328052,0.246902,0.125335,0.1969454,0.3155623,0.1161678,0.1161678,0.2723922
657.6072,0.239576,0.1894091,0.1769144,0.1904132,0.1455996,0.1423457,0.1319097,0.2447033,0.1270606,0.1947067,0.3143819,0.1157075,0.1157075,0.2713125
659.5356,0.2380182,0.1887349,0.1764071,0.1880973,0.1446288,0.1411104,0.1312403,0.2427241,0.1292433,0.1921604,0.311231,0.1143761,0.1143761,0.2704912
661.4641,0.2360913,0.1878888,0.1755293,0.185859,0.1439971,0.1393252,0.1289748,0.240485,0.1309966,0.190941,0.3083473,0.112736,0.112736,0.2695485
663.3926,0.2344148,0.1871587,0.1739801,0.1849169,0.1424785,0.1382754,0.1277858,0.2392382,0.1323107,0.1902491,0.3074974,0.1114835,0.1114835,0.2687133
665.321,0.2327325,0.186222,0.1725913,0.1836092,0.1408583,0.1372663,0.1282228,0.2373497,0.1331422,0.1872021,0.3057991,0.1118092,0.1118092,0.2663488
667.2495,0.2304895,0.1834701,0.1711349,0.1821739,0.14053,0.1361334,0.1268528,0.2355757,0.1336032,0.184643,0.3035161,0.110545,0.110545,0.2637249
669.178,0.2285804,0.1825269,0.1691604,0.1808757,0.1399197,0.1339765,0.1254594,0.2338384,0.133624,0.1820252,0.3013906,0.1092137,0.1092137,0.2613198
671.1064,0.226442,0.1818564,0.1680097,0.1793995,0.1388352,0.1328105,0.1242779,0.2319912,0.1336222,0.1792821,0.2993408,0.1087536,0.1087536,0.2587586
673.0349,0.2250407,0.1809913,0.167445,0.178433,0.1383294,0.1323781,0.1232487,0.2308368,0.1335155,0.1774985,0.2976067,0.1079799,0.1079799,0.2569217
674.9634,0.2248352,0.1797362,0.1659359,0.1772207,0.1362091,0.1300284,0.1229415,0.2288589,0.1337448,0.1764485,0.2952304,0.1067955,0.1067955,0.2564094
676.8918,0.2243571,0.1770981,0.1641438,0.1751469,0.1335944,0.1287684,0.1226894,0.2260757,0.1336493,0.1761742,0.2928835,0.1058735,0.1058735,0.2564047
678.8203,0.2222217,0.1754768,0.1637527,0.1735274,0.1327731,0.1289273,0.1209013,0.2235456,0.1335091,0.1742387,0.2918524,0.1049156,0.1049156,0.2541844
680.7488,0.2204758,0.1752399,0.1623771,0.1734854,0.1313087,0.128514,0.1192999,0.2211832,0.1331642,0.1715669,0.2905706,0.1048462,0.1048462,0.251742
682.6772,0.2187612,0.1737123,0.1603811,0.173191,0.1307306,0.1277169,0.1184892,0.2193861,0.1327118,0.1688044,0.2878933,0.1047834,0.1047834,0.2505253
684.6057,0.2182736,0.1730885,0.1602298,0.1716379,0.1313383,0.1268888,0.1187781,0.2180231,0.1328651,0.1672013,0.2871954,0.1044041,0.1044041,0.2500073
686.5342,0.2172842,0.1727472,0.1599328,0.170506,0.1308398,0.1264992,0.1191298,0.217005,0.1331669,0.1661755,0.2863842,0.1032723,0.1032723,0.248409
688.4626,0.2170389,0.1714628,0.1589636,0.1706032,0.1303542,0.1260423,0.1191039,0.2170255,0.1339034,0.1666063,0.2847101,0.1022398,0.1022398,0.2482434
690.3911,0.2169524,0.1710564,0.1585406,0.1703558,0.1297662,0.1260603,0.1183764,0.2169885,0.1344899,0.1670908,0.2831981,0.1019842,0.1019842,0.2480735
692.3196,0.2157682,0.1709119,0.1580144,0.169672,0.1292182,0.1250951,0.1185237,0.2152628,0.1351436,0.1664341,0.2813318,0.1011119,0.1011119,0.2457417
694.248,0.2136849,0.1692244,0.1577857,0.168851,0.1289285,0.1243454,0.1180255,0.2130031,0.1363556,0.1652617,0.2790423,0.09974045,0.09974045,0.2429351
696.1765,0.2125709,0.1678501,0.1568177,0.1687969,0.1282964,0.1232307,0.1173563,0.2119649,0.1377881,0.16391,0.2768805,0.09957678,0.09957678,0.2417287
698.105,0.2114382,0.1664277,0.1544933,0.1679714,0.1264147,0.1214144,0.1161986,0.2105257,0.1388622,0.1631275,0.2753066,0.09922633,0.09922633,0.240516
700.0334,0.2104692,0.1647896,0.1538685,0.1667462,0.1253114,0.1203261,0.1146823,0.208915,0.1397268,0.162864,0.2749486,0.09784415,0.09784415,0.2391469
701.9619,0.2098369,0.1636673,0.1536749,0.1660131,0.1249808,0.1199798,0.1135749,0.2083585,0.1406612,0.1619533,0.2733076,0.09722345,0.09722345,0.2382905
703.8904,0.2086598,0.1625827,0.1517285,0.1650864,0.1239785,0.1191996,0.1129023,0.2081313,0.1417722,0.1628793,0.2725563,0.09712452,0.09712452,0.2375385
705.8188,0.2067491,0.1612964,0.1496277,0.1635544,0.1233778,0.1181125,0.112116,0.2065019,0.1431901,0.1630878,0.272536,0.09729781,0.09729781,0.2361431
707.7473,0.2046597,0.1611788,0.1489056,0.1624242,0.1229332,0.1184724,0.1110655,0.2053254,0.1450566,0.1604739,0.2701945,0.09699749,0.09699749,0.2351874
709.6758,0.2036935,0.161606,0.1480889,0.1621578,0.1223638,0.1189981,0.1111421,0.2037295,0.1469447,0.1582818,0.2676375,0.09589395,0.09589395,0.2332148
711.6042,0.2033193,0.1622162,0.1474949,0.1617931,0.1220837,0.1194577,0.1112783,0.201002,0.1484377,0.1571921,0.2651089,0.09530375,0.09530375,0.2314597
